NAME,HER_IDX,PSZ2_IDX,RA,DEC,z,M500/1e14,SNR,Tier,nH_LAB,RPS,t_RPS,REV,NVSS Separation,NVSS flux_20cm,VLASS Separation,VLASS flux
PSZ2 G224.00+69.33,60,1002,11:23:58,+21:28:56,0.1904,5.11,8.79,1,1.56e+20,22,27,3396,0.0,0.0,0.0,0.0
PSZ2 G113.91-37.01,61,551,0:19:42,+25:18:05,0.3712,7.58,8.15,2,2.91e+20,23,49,3583,0.0,0.0,0.0,0.0
PSZ2 G067.52+34.75,62,286,17:17:19,+42:26:58,0.1754,4.49,8.44,1,1.59e+20,24,31,3421,0.0,0.0,0.0,0.0
PSZ2 G113.29-29.69,63,549,0:11:46,+32:24:51,0.1073,3.57,8.15,1,4.69e+20,25,21,3393,0.0,0.0,0.0,0.0
PSZ2 G080.16+57.65,64,339,15:01:08,+47:16:35,0.0878,2.51,7.85,1,2.47e+20,26,29,-,0.0,0.0,0.0,0.0
PSZ2 G192.18+56.12,65,881,10:16:22,+33:38:26,0.124,3.62,7.82,1,1.49e+20,27,25,-,0.0,0.0,0.0,0.0
PSZ2 G099.48+55.60,66,473,14:28:38,+56:51:35,0.1051,2.75,8.08,1,1.33e+20,28,30,-,0.0,0.0,0.0,0.0
PSZ2 G217.40+10.88,67,980,7:38:18,+01:02:15,0.189,5.34,7.78,1,8.46e+20,29,37,3534,0.0,0.0,0.0,0.0
PSZ2 G057.92+27.64,68,239,17:44:15,+32:59:28,0.0757,2.66,8.03,1,3.83e+20,30,21,3440,0.0,0.0,0.0,0.0
PSZ2 G179.09+60.12,69,834,10:40:45,+39:57:11,0.1372,3.84,7.51,1,1.69e+20,31,27,3467,0.0,0.0,0.0,0.0
PSZ2 G283.91+73.87,70,1320,10:16:22,+33:38:26,0.0852,2.69,8.39,1,2.1e+20,32,21,3665,0.0,0.0,0.0,0.0
PSZ2 G149.39-36.84,71,725,2:21:34,+21:21:42,0.17,5.35,7.26,1,7.51e+20,33,28,3601,0.0,0.0,0.0,0.0
PSZ2 G083.86+85.09,72,361,13:05:51,+30:53:42,0.1832,4.74,8.05,1,1.03e+20,34,31,3581,0.0,0.0,0.0,0.0
PSZ2 G040.03+74.95 N,73,145,13:59:09,+28:06:48,0.0612,2.34,9.29,1,1.35e+20,35,21,-,0.0,0.0,0.0,0.0
PSZ2 G040.03+74.95,74,145,13:59:15,+27:58:33,0.0612,2.34,9.29,1,1.35e+20,36,21,3761,0.0,0.0,0.0,0.0
PSZ2 G217.09+40.15,75,979,9:24:06,+14:10:26,0.1357,3.89,7.02,1,3.28e+20,37,28,3729,10.802775381053019,114.0,10.873320151558588,44.2552462677
PSZ2 G172.74+65.30,76,816,11:11:40,+40:50:14,0.0794,2.39,7.46,1,1.33e+20,38,23,3569,0.0,0.0,0.0,0.0
PSZ2 G218.59+71.31,77,983,11:29:55,+23:48:14,0.1371,3.76,7.22,1,1.21e+20,39,30,-,0.0,0.0,0.0,0.0
PSZ2 G105.55+77.21,78,508,13:11:09,+39:13:37,0.072,2.2,6.93,1,1.16e+20,40,24,3562,0.0,0.0,0.0,0.0
PSZ2 G066.68+68.44,79,280,14:21:41,+37:17:29,0.163,3.8,7.07,1,9.91e+19,41,38,3388,0.0,0.0,0.0,0.0
PSZ2 G080.37+14.64,80,340,19:26:10,+48:33:10,0.098,3.13,8.15,1,6.87e+20,42,29,3545,0.0,0.0,0.0,0.0
PSZ2 G050.40+31.17,81,204,17:20:08,+27:40:07,0.164,4.22,7.28,1,3.3e+20,43,33,3606,0.0,0.0,0.0,0.0
PSZ2 G057.78+52.32 N,82,237,15:44:54,+36:19:34,0.0654,2.32,7.21,1,1.71e+20,44,21,-,0.0,0.0,0.0,0.0
PSZ2 G057.78+52.32,83,237,15:44:59,+36:06:30,0.0654,2.32,7.21,1,1.71e+20,45,21,3603,0.0,0.0,0.0,0.0
PSZ2 G204.10+16.51,84,922,7:35:48,+15:06:48,0.122,3.71,6.69,1,5.01e+20,46,28,3545,0.0,0.0,6.633246122288201,2.20690250449
PSZ2 G098.44+56.59,85,464,14:27:25,+55:44:27,0.1318,2.83,6.63,1,1.34e+20,47,48,-,0.0,0.0,0.0,0.0
